Date,Time,Loc,"Left Leg
 Top/Bottom","Right Leg
 Top/Bottom",RFID No.,Band No.,"If recap, year caught","Tarsus
 (mm)","Skull
 (mm)",Wing (mm),Body mass (g),Forehead Black Width (mm),Species,Notes,Submitted to BBL portal (yes/no)
12/9/2023,10:30,R9,Blue/Alum,RFID Purple,recap,2711-04981,2023,n/a,n/a,n/a,n/a,pic? ,TUTI,,
12/9/2023,10:40,Pines,Yellow/Alum,RFID Black,recap,2711-04924,2023,21.6,30.7,80,21.01,pic? ,TUTI,,
12/9/2023,11:00,BL,RFID Purple,Yellow/Alum,01103FDC1F,2711-04969,,21.4,31.5,83,22.18,pic? ,TUTI,,
12/9/2023,11:00,BL,RFID Purple,Black/Alum,01103FDA4E,2711-04966,,22.5,31.2,75,20.85,pic?,TUTI,,
12/9/2023,11:00,BL,RFID Purple,Green/Alum,01103FE6D4,2711-04937,,23.2,32,80,23.89,pic? ,TUTI,,
12/12/2023,9:05,BW,RFID Purple,Orange/Alum,01103FE374,2711-04965,,20.6,30.8,80.5,21.45,,TUTI,,
12/14/2023,8:30,FP,Orange/Alum,RFID Green,recap,2711-04995,2023,23.2,31.6,82,21.49,,TUTI,,
12/14/2023,9:10,FP,RFID Purple,Blue/Alum,recap,2711-04933,2023,22.3,31,78,20.14,,TUTI,,
12/14/2023,9:10,FP,RFID Black,Blue/Alum,recap,2711-04932,2023,,,,,,TUTI,,
12/14/2023,9:10,FP,Orange/Alum,RFID Red,recap,2711-04992,2023,,,,,,TUTI,,
12/14/2023,9:50,MS,Orange/Alum,RFID Grey,recap,2711-04919,2023,22.2,32.4,88,23.06,,TUTI,big wing but correct,
12/14/2023,9:50,MS,Black/Alum,RFID Black,recap,2711-04923,2023,22.4,31.4,85,24.85,,TUTI,,
12/15/2023,10:25,SC,Blue/Alum,RFID Green,recap,2711-04914,2023,,,,,,TUTI,caught 9 times,
12/15/2023,11:30,R9,Red/Alum,RFID Yellow,recap,2711-04976,2023,22.5,31.2,79,21.3,,TUTI,,
12/15/2023,11:40,BW,Black/Alum,RFID Yellow,recap,2711-04975,2023,22.1,30,80,21.15,,TUTI,,
12/15/2023,11:40,HP,Yellow/Alum,RFID Black,recap,2711-04924,2023,22.7,31.1,81,20.85,,TUTI,caught 6 times,
12/16/2023,9:45,Pines,Orange/Alum,RFID Black,recap,2711-04928,2023,20.8,31.4,78,22.03,,TUTI,cuaght 7 times,
12/16/2023,10:20,R9,Red/Alum,RFID Purple,recap,2711-04929,2023,21.2,31.3,81,21.51,,TUTI,,
12/16/2023,10:30,BL,RFID Purple,Green/Alum,recap,2711-04937,2023,20.5,30.3,79,21.89,,TUTI,,
12/16/2023,10:30,BL,Orange/Alum,RFID Yellow,3B004C76A3,2711-04964,,21.1,31,80,19.7,,TUTI,,
12/16/2023,10:50,R9,Green/Alum,RFID Purple,recap,2711-04980,2023,21.9,31.2,77,20.13,,TUTI,,
12/16/2023,11:45,BW,RFID Yellow,Yellow/Alum,recap,2711-04978,2023,21.2,31.3,80,21.86,,TUTI,,
12/16/2023,11:45,BW,RFID Black,Black/Alum,3B004C9DD3,2711-04939,,21.4,32.4,81,23.76,,TUTI,,
12/16/2023,11:45,BW,RFID Yellow,Black/Alum,recap,2711-04977,2023,22.6,31.8,81,24.71,,TUTI,,
10/18/2023,10:30,MS,Red/Alum,RFID Yellow,3B004BCBA7,2711-04921,,20.8,40.9,92,20.49,,WBNU,,
10/26/2023,10:15,Pines,Red/Alum,RFID Green,recap,2711-04500,2022,18.3,42,93,21.27,,WBNU,,
11/11/2023,9:40,SC,Green/Alum,RFID White,3B004B1BC8,2711-04985,,19.9,41,90,21.87,,WBNU,,
11/30/2023,11:30,SC,Orange/Alum,RFID White,3B0018FA4F,2711-04931,,20,39.5,90,20.27,,WBNU,,
12/4/2023,13:30,PP ,Black/Alum,RFID White,3B00191517,2711-04921,,19,37.8,91,22.18,,WBNU,,
12/5/2023,15:30,FP ,Red/Alum,RFID Yellow,recap,2711-04921,2023,19.7,39.8,91,21.24,,WBNU,,
12/8/2023,15:00,SC,Green/Alum,RFID White,recap,2711-04985,2023,19.8,39.1,90,23.5,,WBNU,,
12/9/2023,9:00,R9,Green/Alum,RFID Purple,3B00488F81,2711-04936,,18.3,41.6,94,22.47,,WBNU,,
9/29/2022,,UM,Blue/aluminum,RFID Black,recap,1570-79019,,not measured,27.4,69,11.57,,BCCH,,
10/27/2022,,R9,RFID Blue,Green/alum,recap,1570-79075,,not measured,26.7,66,10.61,,BCCH,,
9/27/2022,,MS,RFID Blue,Gray/aluminum,recap,1570-79077,,18.9,26.7,68,12.13,,BCCH,,
10/18/2022,,PP,RFID Blue,Gray/aluminum,recap,1570-79077,,not measured,not measured,not measured,not measured,,BCCH,,
10/18/2022,,PP,RFID Blue,Gray/aluminum,recap,1570-79077,,not measured,not measured,not measured,not measured,,BCCH,,
9/27/2022,,UM,Purple/alum,RFID Grey,recap,1570-79080,,21.6,26.2,70,11.94,,BCCH,,
9/29/2022,,not recorded,Purple/alum,RFID Grey,recap,1570-79080,,not measured,28.1,70,8.98,,BCCH,,
10/15/2022,,UM,Purple/alum,RFID Grey,recap,1570-79080,,not measured,not measured,not measured,not measured,,BCCH,,
11/1/2022,,not recorded,Purple/alum,RFID Grey,recap,1570-79080,,not measured,27.1,66,9.55,,BCCH,,
9/27/2022,,PP,RFID Black,Purple/alum,recap,1570-79084,,20.01,27,65,11.31,,BCCH,,
11/3/2022,,HP,Grey/aluminum,RFID White,recap,1570-79087,,not measured,27.2,67,10.33,,BCCH,,
10/6/2022,,BL,RFID Black,Lt Blue/alum,recap,1570-79112,,not measured,29.1,72,11.65,,BCCH,,
10/13/2022,,BL,RFID Black,Lt Blue/alum,recap,1570-79112,,not measured,26,72,12.13,,BCCH,,
10/4/2022,,FP,not recorded,not recorded,recap,1570-79140,,not measured,31.3,66,not measured,,BCCH,,
9/27/2022,,Pines,Green/aluminum,RFID Blue,recap,1570-79153,,not measured,26.5,64,10.36,,BCCH,,
10/18/2022,,UM,Green/aluminum,RFID Blue,recap,1570-79153,,not measured,not measured,not measured,not measured,,BCCH,,
10/18/2022,,UM,Green/aluminum,RFID Blue,recap,1570-79153,,not measured,not measured,not measured,not measured,,BCCH,,
